"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"S101_01"	"S102"	"S201"	"S202"	"S203"	"S204"	"S205"	"S302_CN"	"S302_01"	"S302_02"	"S302_03"	"S302_04"	"S302_05"	"S302_05a"	"S303_CN"	"S303_01"	"S303_02"	"S303_03"	"S303_04"	"S303_05"	"S303_06"	"S303_06a"	"S304_CN"	"S304_01"	"S304_02"	"S304_03"	"S304_04"	"S304_05"	"S304_06"	"S304_07"	"S304_07a"	"S305_01"	"S305_02"	"S305_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
53			"base"	"interview"	2015-12-09 22:30:22	23	1	2	1	2	2	2	4	T	T	T	T	F		3	F	T	T	F	T	F		2	T	F	F	F	T	F	F		1	1	1	5	20	19	45	89		2015-12-09 22:31:51	T	F	4	4	0	0	0	22	22
54			"base"	"interview"	2015-12-09 22:40:10	24	1	1	2	3	2	2	1	F	F	F	F	T	"-"	1	F	F	F	F	F	T	"-"	3	T	T	F	T	F	F	F		1	1	1	27	7	16	102	152		2015-12-09 22:42:42	T	F	4	4	0	0	0	13	13
57			"base"	"interview"	2015-12-09 22:42:49	25	1	1	2	2	2	2	1	F	F	T	F	F		1	F	F	F	F	T	F		1	F	T	F	F	F	F	F		1	1	1	34	9	483	52	119		2015-12-09 22:52:27	T	F	4	4	0	0	0	6	6
58			"base"	"interview"	2015-12-09 22:45:57	23	2	1	2	2	2	2	1	F	F	F	F	T	"Sind für mich irrelevant"	1	F	F	F	F	F	T	"Brauch ich nicht."	0	F	F	F	F	F	F	F		1	1	1	18	7	18	210	110		2015-12-09 22:50:10	T	F	4	4	0	0	0	11	11
59			"base"	"interview"	2015-12-09 22:47:18	20	1	1	2	2	2	2	1	T	F	F	F	F		1	F	F	F	F	T	F		3	T	F	F	T	T	F	F		1	1	1	4	14	35	96	149		2015-12-09 22:49:47	T	F	4	4	0	0	0	19	19
60			"base"	"interview"	2015-12-09 22:47:21	25	2	1	2	2	2	2	1	F	T	F	F	F		2	T	F	T	F	F	F		1	F	F	F	F	T	F	F		1	1	1	7	11	24	43	85		2015-12-09 22:48:46	T	F	4	4	0	0	0	12	12
61			"base"	"interview"	2015-12-09 22:54:08	23	1	2	3	3	3	3	2	T	F	T	F	F		3	T	F	T	F	T	F		2	T	F	F	T	F	F	F		1	1	1	4	6	21	83	114		2015-12-09 22:56:02	T	F	4	4	0	0	0	31	31
62			"base"	"interview"	2015-12-09 23:01:59	23	1	1	1	2	2	2	1	F	F	T	F	F		1	F	F	F	F	T	F		0	F	F	F	F	F	F	F		1	1	1	231	70	17	480	105		2015-12-09 23:15:17	T	F	4	4	0	0	0	5	5
64			"base"	"interview"	2015-12-09 23:17:29	23	1	1	1	2	2	2	1	F	F	T	F	F		1	F	F	F	F	T	F		0	F	F	F	F	F	F	F		1	1	1	28	32	28	69	136		2015-12-09 23:20:06	T	F	4	4	0	0	0	0	0
65			"base"	"interview"	2015-12-09 23:46:11	22	2	2	2	2	2	2																												16	5	13		34		2015-12-09 23:46:45	F	F	3	3	0	0	0	34	34
